,alignment,decay_a,decay_b,decay_c,full path,height,jaw,position,spike,collimator_type,beam_type,beam_state
0,1522717452_TCLA.A5R3.B1_Align_features,5.4567086815818895,0.8620993434368132,3.098668783215353,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522717452_TCLA.A5R3.B1_Align_features,3.5540104166666664,0,3.2293583372647325,0,TCLA,PROTON,I
1,1522717452_TCLA.A5R3.B1_Align_features,5.4567086815818895,0.8620993434368132,3.098668783215353,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522717452_TCLA.A5R3.B1_Align_features,3.5540104166666664,1,2.8587762329884523,0,TCLA,PROTON,I
2,1522856681_TCP.C6R7.B2_Align_features,6.23507800808156,0.3448046245580991,0.8657523232837653,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522856681_TCP.C6R7.B2_Align_features,5.9109125,0,5.248969367966264,1,TCP,PROTON,I
3,1522831642_TCP.D6L7.B1_Align_features,2.0266130444190296,2.851484331691565,0.868501576904797,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522831642_TCP.D6L7.B1_Align_features,2.0135128205128208,1,4.100928105683241,0,TCP,PROTON,I
4,1522709031_TCTPV.4L2.B1_Align_features,0.4190514115650705,0.03137748439472211,0.354639152566098,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522709031_TCTPV.4L2.B1_Align_features,0.3745000000000001,0,5.754002801327509,0,TCTPV,PROTON,I
5,1522709031_TCTPV.4L2.B1_Align_features,0.4190514115650705,0.03137748439472211,0.354639152566098,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522709031_TCTPV.4L2.B1_Align_features,0.3745000000000001,1,5.754002801327509,0,TCTPV,PROTON,I
6,1522716070_TCTPH.4L2.B1_Align_features,10.454842349488858,0.18074326818821754,3.2945177179862712,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522716070_TCTPH.4L2.B1_Align_features,13.293977272727272,0,4.320434338925351,1,TCTPH,PROTON,I
7,1522716070_TCTPH.4L2.B1_Align_features,10.454842349488858,0.18074326818821754,3.2945177179862712,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522716070_TCTPH.4L2.B1_Align_features,13.293977272727272,1,1.3594470118170283,1,TCTPH,PROTON,I
8,1522890160_TCLA.A6R7.B1_Align_features,72.01415733094156,0.5212887266532578,4.653834311355652,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522890160_TCLA.A6R7.B1_Align_features,67.513,1,4.755261389302633,1,TCLA,PROTON,I
9,1522851385_TCP.C6L7.B1_Align_features,27.24766147095718,0.4764357215649619,3.484360347058497,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522851385_TCP.C6L7.B1_Align_features,31.565091954022986,0,5.502972357129802,1,TCP,PROTON,I
10,1522851385_TCP.C6L7.B1_Align_features,27.24766147095718,0.4764357215649619,3.484360347058497,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522851385_TCP.C6L7.B1_Align_features,31.565091954022986,1,4.393772021027183,1,TCP,PROTON,I
11,1522715756_TCSG.B5R3.B1_Align_features,10.950121487157023,0.1334327049733998,2.558520697255388,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522715756_TCSG.B5R3.B1_Align_features,14.073337662337662,0,4.59212870343986,1,TCSG,PROTON,I
12,1522715756_TCSG.B5R3.B1_Align_features,10.950121487157023,0.1334327049733998,2.558520697255388,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522715756_TCSG.B5R3.B1_Align_features,14.073337662337662,1,5.171034195866691,1,TCSG,PROTON,I
13,1522715927_TCSG.4R3.B1_Align_features,4.229390073811042,0.15043951780422554,3.8333864919185134,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522715927_TCSG.4R3.B1_Align_features,3.374719626168224,0,2.2522331617772653,0,TCSG,PROTON,I
